475.414	10	15.1	487.64	9.4	16.8	974.403	5.4	404.8	971.419	4.5	154.2								
480.523	10.1	14.6	492.662	10	14.5	984.381	5.1	375.9	982.5	4.6	208.8								
485.638	10	13.6	498.051	9.4	13.9	994.421	5.2	430.5	993.315	4.7	290.5								
490.747	10	14.2	504.307	8.2	15.6	1004.915	5.1	506.8	1004.275	4.6	362.1								
495.846	10	14.2	510.521	8.3	16.3	1014.082	5.6	505.8	1015.913	4.4	287.8								
500.963	10	14	516.478	8.5	15.8	1023.865	5.2	368.4	1025.769	5.2	293.6								
506.078	10	14.3	523.241	7.5	15.1	1036.12	4.1	232.7	1036.4	4.8	150.7								
511.187	10	14.4	529.917	7.6	17.1	1044.858	5.8	482.9	1047.389	4.6	168.3								
516.293	10	13.7	536.9	7.3	14.8	1055.887	4.6	301.4	1056.886	5.3	172.4								
521.423	9.9	14.4	544.082	7.1	14.2	1065.675	5.2	318	1068.676	4.3	169.4								
526.513	10	14.2	550.547	7.8	15.2	1076.715	4.6	157.3	1077.311	5.9	815.7								
531.623	10	14.7	557.628	7.4	13.6	1086.834	5	157.8	1087.733	4.9	306.7								
536.743	10	13.7	563.909	8	16.7	1097.235	4.9	184.7	1097.904	5.1	272.8								
541.84	10	14	571.219	7	16.5	1109.821	4	242.1	1106.86	5.7	410.8								
546.954	10	11.8	577.832	7.7	17.2	1121.415	4.4	341.5	1116.018	5.6	391.6								
552.058	10	14	585.331	6.7	14.8	1133.052	4.4	297.8	1124.549	5.9	156.4								
557.176	10	11.9	590.62	9.5	13.1	1143.098	5.1	732.6	1134.058	5.3	154.4								
562.289	10	14.6	596.174	9.3	16.1	1152.058	5.7	809.3	1146.622	4.2	151.2								
567.397	10	16.3	600.975	10.5	17.3	1161.696	5.3	417.1	1158.022	4.4	178.2								
572.503	10	13.9	605.303	11.7	14.4	1170.61	5.7	1090.8	1170.598	4.1	244.2								
577.613	10	14	610.293	10.4	14.8	1180.255	5.3	347.4	1181.857	4.5	251.7								
582.729	10	12.9	614.787	11.4	14.7	1189.761	5.4	302	1192.918	4.6	248.6								
587.854	10	14.1	619.146	11.6	17.8														
592.963	10	13.7	623.894	10.6	16.3														
598.094	9.9	13.3	628.599	10.7	14.6														
603.189	10	14.7	633.638	10.1	16.5														
608.333	9.9	14.1	638.369	10.6	15.9														
613.423	10	12.9	642.878	11.4	15.9														
618.55	10	14.2	647.999	10.1	16.9														
623.643	10	15.9	652.914	10.5	15.7														
628.794	9.9	15.1	657.442	11.2	15.9														
633.864	10	12.2	662.297	10.5	14.6														
638.973	10.1	15.9	666.836	11.5	14.3														
644.096	10	15.2	671.542	11	17														
649.203	10	13.3	676.42	10.5	19														
654.343	9.9	13	681.284	10.7	16.6														
659.431	10	13.4	685.404	12.5	14.6														
664.562	10	13.9	690.077	11	15.2														
669.654	10	14.5	695.641	9.3	17														
674.779	10	20.9	700.621	10.2	14.5														
679.893	10	14.7	705.468	10.5	16.2														
685.011	10	15.2	710.701	9.8	14.2														
690.123	10	16.9	715.507	10.8	17														
695.242	10	13.4	720.619	9.9	15.8														
700.342	10	15.5	725.499	10.7	16.1														
705.463	10	14.7	730.558	9.9	16.4														
710.575	10	14.7	735.902	9.4	17														
715.685	10	14.9	741.118	9.6	15.7														
720.802	10	13.4	746.665	9.3	17.5														
725.913	10	14.1	751.253	11.1	14.6														
731.023	10	13.4	755.965	11	15.7														
736.148	10	13.4	760.541	11	14.6														
741.274	10	14.4	765.704	9.9	15.5														
746.385	10	15.3	770.381	11.1	16.3														
751.49	10	14.2	774.814	11.7	15.6														
756.613	10	14.1	780.103	9.7	15.8														
761.724	10	11.9	785.24	10	14.6														
766.833	10	14.4	789.838	11.3	13.7														
771.94	10	17.7	794.585	10.7	14.8														
777.071	10	16	799.536	10.2	12.8														
782.163	10	15.7	804.168	11	17.8														
787.286	10	14.6	808.699	11.4	15.8														
792.393	10	14.9	813.908	9.8	15.6														
797.502	10	15.8	818.489	11	18														
802.613	10	12.4	822.499	12.8	16.8														
807.734	10	14.6	827.493	10.3	14.7														
812.859	9.9	13.8	832.632	9.8	15.9														
817.951	10	15.1	837.636	10	16.4														
823.067	10	14.4	843.216	9.1	15.6														
828.188	10	15.1	848.316	9.8	16.7														
833.286	10.1	12.7	853.518	9.9	15														
838.413	9.9	14.4	858.692	9.7	17.9														
843.508	10	14.6	863.988	9.7	16.1														
848.629	10	12.5	869.288	9.6	16.9														
853.734	10	12.7	874.198	10.3	13.5														
858.859	10	15.6	879.688	9.4	15.5														
863.957	10	12.7	884.981	9.5	15.9														
869.062	10	13.6	890.233	9.5	16.2														
874.171	10	14.2	895.503	9.7	13.8														
879.288	10	13.6	900.408	10.4	14.2														
884.408	10	16.5	905.654	9.8	14.9														
889.509	10	14.2	910.966	9.6	15														
894.623	10	13.6	916.494	9.3	15.7														
899.733	10	14.5	921.36	10.4	15.8														
904.85	10	14.3	926.632	9.6	14.9														
909.945	10	14.3	931.908	9.6	14.3														
915.058	10	13.2	936.881	10.2	15.6														
920.173	10	13.9	942.226	9.6	14.9														
925.285	10	13.7	947.553	9.6	14.4														
930.393	10	15.8	953.019	9.4	14.4														
935.505	10	12	958.29	9.7	14.6														
940.624	10	15.8	963.463	9.9	14														
945.733	10	13.5	968.634	9.9	14.6														
950.844	10	16.3	973.705	10.1	15.2														
955.949	10	13.6	979.018	9.7	15.7														
961.064	10	13.5	984.838	8.8	14.6														
966.179	10	13.6	989.735	10.2	15.8														
971.294	10	14.1	995.069	9.6	13.7														
976.417	10	14.6	1000.383	9.6	15														
981.504	10	13.5	1005.565	10	14.1														
986.631	10	14.6	1010.854	9.7	15.6														
991.739	10	14.6	1015.956	10.1	17.8														
996.868	9.9	13.7	1021.384	9.2	15.3														
1001.956	10	14.2	1026.516	10.1	15.7														
1007.064	10	14.2	1031.44	10.4	16														
1012.191	9.9	14.2	1036.713	9.7	14.4														
1017.33	9.9	13.5	1042.488	9.2	14.3														
1022.432	9.9	13.3	1047.739	9.7	17.2														
1027.513	10	14.1	1052.562	10.6	13.6														
1032.637	9.9	13.8	1057.777	9.9	15.2														
1037.736	10	12.3	1062.983	9.7	14														
1042.849	10	14.7	1068.239	9.7	14.7														
1047.965	10	13.6	1073.136	10.3	15.1														
1053.073	10	13.7	1078.928	8.7	15.5														
1058.183	10	14.3	1083.384	11.7	17														
1063.312	10	13.1	1088.524	10	15														
1068.41	10	16.2	1093.667	9.9	16.2														
1073.521	10	13.3	1099.09	9.2	15.7														
1078.624	10	14.4	1104.318	9.6	17.1														
